Localidade;Nu_local;Local;Endereco;CEP;Bairro;Secao;Apto
VITÓRIA;2380;CMEI DR. PEDRO FEU ROSA;R. ALOÍSIO DE MENEZES, 298;29047090;bonfim;1014;262
VITÓRIA;2380;CMEI DR. PEDRO FEU ROSA;R. ALOÍSIO DE MENEZES, 298;29047090;bonfim;1015;273
VITÓRIA;2380;CMEI DR. PEDRO FEU ROSA;R. ALOÍSIO DE MENEZES, 298;29047090;bonfim;1016;265
VITÓRIA;2380;CMEI DR. PEDRO FEU ROSA;R. ALOÍSIO DE MENEZES, 298;29047090;bonfim;1017;267
VITÓRIA;2380;CMEI DR. PEDRO FEU ROSA;R. ALOÍSIO DE MENEZES, 298;29047090;bonfim;1018;212
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1019;338
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1020;342
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1021;342
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1022;339
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1023;237
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1024;335
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1025;394
VITÓRIA;2399;EMEF PREZIDEU AMORIM;RUA ALOÍSIO MENEZES, 220;29047090;bonfim;1071;239
VITÓRIA;2208;CMEI  SINCLAIR PHILLIPS;RUA SERVIDÃO VITORIA SANTANA RIBEIRO, 40;29025590;CARATOÍRA;648;401
VITÓRIA;2208;CMEI  SINCLAIR PHILLIPS;RUA SERVIDÃO VITORIA SANTANA RIBEIRO, 40;29025590;CARATOÍRA;670;411
VITÓRIA;2208;CMEI  SINCLAIR PHILLIPS;RUA SERVIDÃO VITORIA SANTANA RIBEIRO, 40;29025590;CARATOÍRA;1064;377
VITÓRIA;1023;CEEJA - CENTRO ESTADUAL DE ;RUA SÃO BENTO, 66 - FONTE GRANDE;29016290;CENTRO;3;302
VITÓRIA;1023;CEEJA - CENTRO ESTADUAL DE ;RUA SÃO BENTO, 66 - FONTE GRANDE;29016290;CENTRO;4;304
VITÓRIA;1023;CEEJA - CENTRO ESTADUAL DE ;RUA SÃO BENTO, 66 - FONTE GRANDE;29016290;CENTRO;6;307
VITÓRIA;1023;CEEJA - CENTRO ESTADUAL DE ;RUA SÃO BENTO, 66 - FONTE GRANDE;29016290;CENTRO;46;302
VITÓRIA;1023;CEEJA - CENTRO ESTADUAL DE ;RUA SÃO BENTO, 66 - FONTE GRANDE;29016290;CENTRO;532;302
VITÓRIA;1023;CEEJA - CENTRO ESTADUAL DE ;RUA SÃO BENTO, 66 - FONTE GRANDE;29016290;CENTRO;543;305
VITÓRIA;1090;EEEFM MARIA ORTIZ;RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA;29015090;CENTRO;25;302
VITÓRIA;1090;EEEFM MARIA ORTIZ;RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA;29015090;CENTRO;26;300
VITÓRIA;1090;EEEFM MARIA ORTIZ;RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA;29015090;CENTRO;27;299
VITÓRIA;1090;EEEFM MARIA ORTIZ;RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA;29015090;CENTRO;29;298
VITÓRIA;1090;EEEFM MARIA ORTIZ;RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA;29015090;CENTRO;32;300
VITÓRIA;1090;EEEFM MARIA ORTIZ;RUA FRANCISCO ARAUJO, S/N - CIDADE ALTA;29015090;CENTRO;45;298
