data_pregao;preco_abertura;preco_max;preco_minimo;preco_fechamento;Fechamento;volume_negocios;;
04/01/2021;28650000;29180000;28530001;28910000;15694896;74719700;;
05/01/2021;28900000;30180000;28240000;30040001;16308359;95181100;;
06/01/2021;30160000;30900000;30049999;30100000;16340933;96562500;;
07/01/2021;30340000;31150000;30340000;31000000;16829531;56171300;;
08/01/2021;31459999;31760000;30350000;31120001;16894678;67136300;;
11/01/2021;30610001;31059999;30400000;30860001;16753527;48744700;;
12/01/2021;31120001;31559999;30629999;30629999;16628662;65691900;;
13/01/2021;30680000;30860001;29000000;29150000;15825189;93826600;;
14/01/2021;29170000;29670000;28719999;29450001;15988056;50745400;;
15/01/2021;29049999;29080000;28030001;28120001;15266012;80673300;;
18/01/2021;28309999;28850000;28010000;28070000;15238871;68855700;;
19/01/2021;28480000;28860001;27639999;28690001;15575459;61656000;;
20/01/2021;28950001;29120001;28110001;28209999;15314872;60306200;;
21/01/2021;28020000;28400000;27510000;27549999;14956568;41284900;;
22/01/2021;26930000;27240000;26559999;27090000;14706841;51181900;;
26/01/2021;27250000;27969999;26820000;27000000;14657977;64514600;;
27/01/2021;26809999;28170000;26530001;27400000;14875134;68337800;;
28/01/2021;27320000;28450001;27309999;27760000;15070575;67827000;;
29/01/2021;27520000;27680000;26690001;26690001;14489684;67555300;;
01/02/2021;27260000;27680000;26830000;27530001;14945711;44449500;;
02/02/2021;28400000;29139999;28200001;28660000;15559174;91663000;;
03/02/2021;28980000;29139999;28660000;28940001;15711182;47486800;;
04/02/2021;28830000;28990000;28209999;28820000;15646036;41444100;;
05/02/2021;28980000;30090000;28320000;28840000;15656893;121098700;;
08/02/2021;28510000;29299999;27799999;28110001;15260585;98821700;;
09/02/2021;28049999;28370001;27379999;27540001;14951140;63662200;;
10/02/2021;27740000;28040001;27120001;27799999;15092288;52949900;;
11/02/2021;28139999;28500000;27870001;28080000;15244298;61158600;;
12/02/2021;27809999;28490000;27610001;28440001;15439739;47801100;;
17/02/2021;28520000;29600000;28129999;29590000;16064060;54973400;;
18/02/2021;30379999;30920000;29040001;29270000;15890335;105539200;;
19/02/2021;28030001;28490000;27170000;27330000;14837132;215834800;;
22/02/2021;22799999;23200001;21400000;21670000;11764385;490230400;;
23/02/2021;23049999;24260000;22709999;24059999;13061889;293503100;;
24/02/2021;24549999;25000000;24010000;24400000;13246470;155246400;;
25/02/2021;25000000;25250000;23100000;23190001;12589576;170233000;;
26/02/2021;23200001;23420000;21969999;22240000;12073831;159881000;;
01/03/2021;22799999;23040001;21920000;22000000;11943538;90330100;;
02/03/2021;21840000;22330000;20670000;21990000;11938109;147772300;;
03/03/2021;21799999;21889999;20480000;21190001;11503798;185688500;;
04/03/2021;21299999;22400000;21120001;22219999;12062974;127843200;;
05/03/2021;22440001;23219999;22290001;22389999;12155265;126306300;;
08/03/2021;21940001;22280001;20959999;21100000;11454939;141142800;;
09/03/2021;21360001;21950001;20860001;21590000;11720955;122648000;;
10/03/2021;21940001;22340000;21580000;22340000;12128120;111744100;;
11/03/2021;22620001;23490000;22610001;23290001;12643865;130577500;;
12/03/2021;23150000;23379999;22860001;23170000;12578717;68123200;;
15/03/2021;23110001;23670000;23100000;23650000;12839303;68295000;;
16/03/2021;23629999;23680000;23230000;23280001;12638436;43407900;;
17/03/2021;23139999;24129999;23110001;24080000;13072744;77966400;;
18/03/2021;23879999;23900000;23070000;23240000;12616719;77198900;;
19/03/2021;23270000;24040001;23180000;24000000;13029315;90244500;;
22/03/2021;23690001;23780001;23230000;23520000;12768727;44129300;;
23/03/2021;23170000;23629999;22799999;22799999;12377849;57124700;;
24/03/2021;23190001;23540001;22820000;22820000;12388706;63338300;;
25/03/2021;22700001;23299999;22160000;23200001;12595005;79214500;;
26/03/2021;23480000;23879999;23110001;23459999;12736156;60918600;;
29/03/2021;23340000;23830000;23280001;23830000;12937023;50099700;;
30/03/2021;23639999;23990000;23570000;23830000;12937023;41959100;;
31/03/2021;23799999;24230000;23780001;24100000;13083605;68609400;;
01/04/2021;24290001;24389999;23780001;23889999;12969597;47232900;;
05/04/2021;24129999;24200001;23680000;24040001;13051030;40454400;;
06/04/2021;24180000;24370001;23910000;24020000;13040174;45934300;;
07/04/2021;23940001;24340000;23930000;24000000;13029315;55892200;;
08/04/2021;23980000;24040001;23370001;23700001;12866448;63231300;;
09/04/2021;23500000;23780001;23370001;23650000;12839303;47494400;;
12/04/2021;23959999;24370001;23780001;23889999;12969597;50592900;;
13/04/2021;23980000;24110001;23690001;23969999;13013029;53612300;;
14/04/2021;24200001;24580000;23980000;24350000;13219326;90836500;;
15/04/2021;23700001;23830000;23020000;23090000;12957170;64193600;;
16/04/2021;23129999;23240000;22809999;22950001;12878610;59567300;;
19/04/2021;22950001;24889999;22770000;24280001;13624951;196519100;;
20/04/2021;24330000;24590000;23760000;23820000;13366819;94965400;;
22/04/2021;24139999;24190001;23650000;23709999;13305091;46600100;;
23/04/2021;23879999;23940001;23510000;23690001;13293868;60341000;;
26/04/2021;23850000;24049999;23610001;23780001;13344372;33281000;;
27/04/2021;23820000;24170000;23100000;23100000;12962782;76684900;;
28/04/2021;23400000;24090000;23360001;23940001;13434156;66374200;;
29/04/2021;24120001;24290001;23420000;23620001;13254586;49775900;;
30/04/2021;23400000;23930000;23280001;23620001;13254586;61039200;;
03/05/2021;23799999;23809999;23299999;23430000;13147966;49039900;;
04/05/2021;23540001;23639999;22879999;22889999;12844939;44765000;;
05/05/2021;23170000;23950001;23120001;23830000;13372430;75611900;;
06/05/2021;23709999;23850000;23400000;23500000;13187246;54091600;;
07/05/2021;23639999;24450001;23459999;24379999;13681067;74118200;;
10/05/2021;24799999;24980000;24580000;24700001;13860638;73804500;;
11/05/2021;24440001;25170000;24320000;25150000;14113158;73729900;;
12/05/2021;24950001;25530001;24690001;24780001;13905532;89980700;;
13/05/2021;24760000;25100000;24430000;24990000;14023373;77282100;;
14/05/2021;25799999;26379999;25549999;26299999;14758492;196135500;;
17/05/2021;26299999;26660000;26200001;26660000;14960509;83512600;;
18/05/2021;26700001;26799999;26270000;26350000;14786551;63510600;;
19/05/2021;25850000;26350000;25799999;26150000;14674319;84700500;;
20/05/2021;26150000;26280001;25719999;25930000;14550863;71371100;;
21/05/2021;26080000;26309999;25940001;25950001;14562087;82884500;;
24/05/2021;26280001;26520000;25990000;26389999;14808997;63029600;;
25/05/2021;26480000;26620001;25780001;25840000;14500360;63672000;;
26/05/2021;25910000;26180000;25650000;26090000;14640649;46646900;;
27/05/2021;26080000;26250000;25770000;25910000;14539640;48877800;;
28/05/2021;26200001;27020000;26150000;26990000;15145694;129526400;;
31/05/2021;26959999;27200001;26780001;26870001;15078353;46298900;;
01/06/2021;27400000;27700001;27010000;27290001;15314042;90744900;;
02/06/2021;27350000;28070000;27260000;27870001;15639513;103985100;;
04/06/2021;28059999;28620001;27920000;28500000;15993043;102757300;;
07/06/2021;28500000;28549999;28010000;28290001;15875200;74548900;;
08/06/2021;28170000;28799999;27959999;28660000;16082829;88398600;;
09/06/2021;28719999;29080000;28520000;28660000;16082829;60724200;;
10/06/2021;28830000;29030001;28570000;28680000;16094053;35871000;;
11/06/2021;28799999;28850000;28260000;28570000;16032326;54894400;;
14/06/2021;28900000;29350000;28610001;28750000;16133335;64286600;;
15/06/2021;28959999;29059999;28629999;29030001;16290459;42597100;;
16/06/2021;29080000;29290001;28770000;29139999;16352186;77432900;;
17/06/2021;29010000;29200001;27910000;28129999;15785415;95264600;;
18/06/2021;28000000;28420000;27639999;28320000;15892035;115250700;;
21/06/2021;28400000;29000000;28400000;28950001;16245565;50709600;;
22/06/2021;29000000;29270000;28670000;29100000;16329741;41602700;;
23/06/2021;29250000;29520000;29000000;29299999;16441971;57278500;;
24/06/2021;29490000;29650000;29219999;29650000;16638378;51447000;;
25/06/2021;29690001;29790001;28950001;29100000;16329741;84950900;;
28/06/2021;29180000;29270000;28670000;29049999;16301680;40341200;;
29/06/2021;29090000;29180000;28740000;29180000;16374632;43215200;;
30/06/2021;29030001;29570000;28920000;29430000;16514923;71367600;;
01/07/2021;29740000;29879999;28920000;29059999;16307291;65084000;;
02/07/2021;29299999;29379999;28730000;29180000;16374632;37336700;;
05/07/2021;29010000;29160000;28370001;28850000;16189449;56028600;;
06/07/2021;28700001;28799999;27670000;27670000;15527282;97839700;;
07/07/2021;28150000;28150000;27410000;28049999;15740520;73793500;;
08/07/2021;27400000;27680000;27270000;27490000;15426272;80574200;;
12/07/2021;27580000;27780001;27280001;27730000;15560950;53001200;;
13/07/2021;27559999;27969999;27379999;27900000;15656347;41594300;;
14/07/2021;28100000;28200001;27540001;27670000;15527282;51654600;;
15/07/2021;27490000;27629999;26920000;27080000;15196198;67982600;;
16/07/2021;27230000;27379999;26580000;26680000;14971734;69024100;;
19/07/2021;25969999;26450001;25860001;26240000;14724822;80087700;;
20/07/2021;26190001;26940001;25910000;26590000;14921229;63408800;;
21/07/2021;26790001;27240000;26590000;26959999;15128858;51116600;;
22/07/2021;27000000;27219999;26709999;26900000;15095187;37736500;;
23/07/2021;27100000;27170000;26680000;26740000;15005403;34025500;;
26/07/2021;26740000;27469999;26719999;27469999;15415048;46802600;;
27/07/2021;27350000;27400000;26900000;27150000;15235479;51901800;;
28/07/2021;27430000;27900000;27200001;27709999;15549727;46727100;;
29/07/2021;27799999;27920000;27500000;27809999;15605843;43916600;;
30/07/2021;27600000;27830000;26830000;26910000;15100800;74150400;;
02/08/2021;27200001;27410000;26370001;26410000;14820221;70528800;;
03/08/2021;26360001;26870001;25790001;26850000;15067131;71850400;;
04/08/2021;26549999;26770000;25950001;26280001;14747270;87970600;;
05/08/2021;28750000;28980000;28059999;28350000;15908870;223915900;;
06/08/2021;28500000;28540001;28020000;28389999;15931315;51106100;;
09/08/2021;27950001;28209999;27670000;28190001;15819085;75381900;;
10/08/2021;28299999;28780001;28240000;28280001;15869588;84380900;;
11/08/2021;28160000;28990000;27969999;28670000;16088440;97863500;;
12/08/2021;28660000;29190001;28500000;29100000;16329741;95319300;;
13/08/2021;29059999;29610001;29020000;29350000;16470028;85201800;;
16/08/2021;29200001;29240000;28240000;28639999;16071606;101262100;;
17/08/2021;26840000;27629999;26450001;27030001;16071552;93623700;;
18/08/2021;27030001;27309999;26650000;26790001;15928854;86103100;;
19/08/2021;26260000;26870001;26129999;26639999;15839664;80808200;;
20/08/2021;26400000;26629999;26170000;26600000;15815882;88445600;;
23/08/2021;26940001;27309999;26770000;27020000;16065607;70161500;;
24/08/2021;27290001;27629999;27240000;27580000;16398573;49831400;;
25/08/2021;27629999;27830000;27379999;27730000;16487761;46031200;;
26/08/2021;27580000;27879999;27469999;27490000;16345062;41061300;;
27/08/2021;27700001;28490000;27670000;28490000;16939644;76465300;;
30/08/2021;28400000;28709999;28260000;28299999;16826670;61054000;;
31/08/2021;28200001;28230000;26990000;27190001;16166685;110574300;;
01/09/2021;27320000;27340000;26330000;27040001;16077497;69430400;;
02/09/2021;27000000;27350000;26459999;26600000;15815882;56052000;;
03/09/2021;26650000;26780001;26100000;26330000;15655345;58182700;;
06/09/2021;26209999;26709999;26150000;26459999;15732640;26770700;;
08/09/2021;26290001;26350000;24790001;24969999;14846711;80378400;;
09/09/2021;25080000;25879999;24139999;25500000;15161842;156617100;;
10/09/2021;26020000;26139999;25330000;25340000;15066708;78379900;;
13/09/2021;25799999;26389999;25639999;26230000;15595885;63317900;;
14/09/2021;25950001;26250000;25719999;25879999;15387783;65497300;;
15/09/2021;26000000;26459999;25870001;26330000;15655345;67274100;;
16/09/2021;26080000;26240000;25510000;26100000;15518591;65567700;;
17/09/2021;25969999;26020000;24770000;24930000;14822930;131694100;;
20/09/2021;24080000;24650000;23790001;24650000;14656446;80260600;;
21/09/2021;25080000;25290001;24530001;25209999;14989413;64570200;;
22/09/2021;25530001;26219999;25520000;25850000;15369946;70231800;;
23/09/2021;25950001;26950001;25910000;26840000;15958581;84480600;;
24/09/2021;26549999;27059999;26469999;26900000;15994256;44821500;;
27/09/2021;27139999;27459999;26500000;27139999;16136955;89178700;;
28/09/2021;27190001;27889999;26719999;26959999;16029932;117874300;;
29/09/2021;27209999;27530001;26820000;27389999;16285603;58731700;;
30/09/2021;27530001;27580000;27170000;27230000;16190470;65744000;;
01/10/2021;27120001;28000000;27070000;28000000;16648298;60983200;;
04/10/2021;27760000;28809999;27719999;28790001;17118019;106937000;;
05/10/2021;29000000;29469999;28900000;29420000;17492603;100469100;;
06/10/2021;28950001;29170000;28469999;28639999;17028830;84599400;;
07/10/2021;28700001;28980000;28250000;28600000;17005047;60551100;;
08/10/2021;29000000;29610001;28709999;29120001;17314228;84170500;;
11/10/2021;29500000;29850000;29150000;29320000;17433146;76466700;;
13/10/2021;29170000;29700001;29080000;29629999;17617466;55605400;;
14/10/2021;29860001;30219999;29500000;29680000;17647196;76172700;;
15/10/2021;29799999;29840000;29510000;29600000;17599628;72479900;;
18/10/2021;29400000;29639999;28990000;29450001;17510443;68971300;;
19/10/2021;29240000;29320000;27860001;28010000;16654242;111484000;;
20/10/2021;28270000;28799999;27950001;28500000;16945587;56063300;;
21/10/2021;27860001;28180000;26920000;27450001;16321278;101567700;;
22/10/2021;27100000;27760000;25770000;27180000;16160740;138384700;;
25/10/2021;27760000;29309999;27650000;29040001;17266663;135830600;;
26/10/2021;28799999;29230000;28600000;28760000;17100182;57865600;;
27/10/2021;28830000;29059999;28469999;28690001;17058561;57579200;;
28/10/2021;28530001;29250000;28250000;28959999;17219095;89578000;;
29/10/2021;29129999;29190001;26969999;27150000;16142902;157340000;;
01/11/2021;27709999;28320000;27370001;28000000;16648298;102157200;;
03/11/2021;27709999;27850000;26799999;26850000;15964528;83475800;;
04/11/2021;27020000;27240000;25850000;26000000;15459131;92603400;;
05/11/2021;26290001;26540001;25780001;25850000;15369946;86264000;;
08/11/2021;25809999;26660000;25719999;26120001;15530485;59704100;;
09/11/2021;26200001;26950001;26200001;26639999;15839664;73021700;;
10/11/2021;26600000;26930000;26160000;26430000;15714803;68176300;;
11/11/2021;26879999;26879999;26240000;26450001;15726696;60848900;;
12/11/2021;26309999;27160000;26000000;26990000;16047770;85962500;;
16/11/2021;27260000;27559999;26629999;27270000;16214252;60978200;;
17/11/2021;27389999;27440001;26490000;26580000;15803989;82106800;;
18/11/2021;26690001;26750000;26049999;26540001;15780207;63993000;;
19/11/2021;26100000;26280001;25780001;26100000;15518591;85893800;;
22/11/2021;26299999;27129999;26290001;26360001;15673184;59195200;;
23/11/2021;26610001;28049999;26500000;27799999;16529379;108382300;;
24/11/2021;27780001;28440001;27510000;28370001;16868294;64263300;;
25/11/2021;29049999;29790001;28559999;29620001;17611519;104052200;;
26/11/2021;28389999;29160000;28070000;28469999;16927750;108871800;;
29/11/2021;29360001;29820000;28809999;29469999;17522333;84672200;;
30/11/2021;29299999;29639999;28860001;29430000;17498550;129384600;;
01/12/2021;29840000;30670000;29480000;29600000;17599628;135078600;;
02/12/2021;26990000;28490000;26200001;28360001;18942493;191410300;;
03/12/2021;28480000;28940001;28219999;28760000;19209665;105133000;;
06/12/2021;28780001;29270000;28680000;28889999;19296495;66142300;;
